age,cups,favorite,caffeine,why_drink,taste,gender,education_level,employment_status
25-34 years old,2,Pourover,Full caffeine,"It tastes good, I need the caffeine, I need the ritual",Yes,Male,Bachelor's degree,Employed full-time
55-64 years old,1,Cortado,Full caffeine,It tastes good,Yes,Male,Bachelor's degree,Employed full-time
18-24 years old,1,Mocha,Full caffeine,"I need the caffeine, It tastes good",Yes,Male,Some college or associate's degree,Student
25-34 years old,1,Cortado,Full caffeine,I need the caffeine,No,Female,Bachelor's degree,Employed full-time
25-34 years old,1,Iced coffee,Full caffeine,I need the caffeine,Yes,Female,Master's degree,Employed full-time
55-64 years old,3,Pourover,Full caffeine,"I need the ritual, I need the caffeine, It tastes good",Yes,Female,Master's degree,Employed full-time
35-44 years old,2,Espresso,Full caffeine,"It tastes good, I need the ritual",Yes,Male,Doctorate or professional degree,Employed full-time
35-44 years old,2,Pourover,Full caffeine,"It tastes good, I need the ritual",Yes,Male,Bachelor's degree,Employed full-time
35-44 years old,1,Other,Full caffeine,"It tastes good, I need the ritual",Yes,Male,Master's degree,Employed full-time
25-34 years old,2,Cappuccino,Full caffeine,"I need the caffeine, It tastes good, I need the ritual, It makes me go to the bathroom",Yes,Female,Bachelor's degree,Employed full-time
25-34 years old,1,Pourover,Full caffeine,It tastes good,Yes,Male,Bachelor's degree,Employed full-time
35-44 years old,3,Cappuccino,Full caffeine,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom",Yes,Male,Some college or associate's degree,Employed full-time
35-44 years old,1,Espresso,Full caffeine,"It tastes good, I need the ritual",Yes,Male,Bachelor's degree,Employed full-time
35-44 years old,2,Pourover,Full caffeine,It tastes good,Yes,Male,Master's degree,Employed full-time
18-24 years old,1,Pourover,Full caffeine,"It tastes good, I need the caffeine, I need the ritual",Yes,Male,Some college or associate's degree,Student
25-34 years old,1,Iced coffee,Full caffeine,I need the caffeine,Yes,Female,Doctorate or professional degree,Employed full-time
35-44 years old,1,Iced coffee,Half caff,"It tastes good, I need the ritual",Yes,Female,Bachelor's degree,Employed full-time
25-34 years old,2,Latte,Full caffeine,"It tastes good, I need the caffeine, It makes me go to the bathroom",Yes,Male,Bachelor's degree,Employed full-time
35-44 years old,2,Iced coffee,Full caffeine,"I need the caffeine, I need the ritual, It tastes good",Yes,Male,Bachelor's degree,Employed full-time
45-54 years old,1,Cold brew,Full caffeine,It tastes good,Yes,Female,Some college or associate's degree,Employed part-time
18-24 years old,3,Iced coffee,Full caffeine,"I need the caffeine, I need the ritual, It makes me go to the bathroom, It tastes good",Yes,Female,Bachelor's degree,Employed full-time
25-34 years old,1,Latte,Full caffeine,"I need the caffeine, I need the ritual, It makes me go to the bathroom",No,Female,Some college or associate's degree,Employed part-time
25-34 years old,1,Pourover,Full caffeine,"I need the ritual, It tastes good",Yes,Male,Bachelor's degree,Employed full-time
25-34 years old,1,Regular drip coffee,Half caff,"It tastes good, I need the ritual",Yes,Male,Bachelor's degree,Employed full-time
55-64 years old,2,Pourover,Full caffeine,"It tastes good, I need the ritual",Yes,Male,Master's degree,Employed full-time
25-34 years old,2,Regular drip coffee,Full caffeine,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom",Yes,Female,Master's degree,Employed full-time
25-34 years old,1,Cappuccino,Full caffeine,"It tastes good, I need the ritual",Yes,Female,Some college or associate's degree,Unemployed
45-54 years old,1,Latte,Full caffeine,"It tastes good, I need the ritual",Yes,Male,Doctorate or professional degree,Employed full-time
35-44 years old,3,Regular drip coffee,Full caffeine,"It tastes good, I need the ritual",Yes,Female,Master's degree,Employed full-time
25-34 years old,More than 4,Pourover,Full caffeine,"It tastes good, I need the caffeine, I need the ritual",Yes,Male,Bachelor's degree,Employed full-time
